id,name,code,active,section_id,section_name,parent_section_id,parent_section_name
3838,SA14.2 + GS125.3,sa14_2_gs125_3,Y,248,Codigos Internos para Clientes,215,NoElegir
3840,SAR07.6 + GS80.3,sar07_6_gs80_3,Y,248,Codigos Internos para Clientes,215,NoElegir
3842,SAR07.2 + GS50.3,sar07_2_gs50_3,Y,248,Codigos Internos para Clientes,215,NoElegir
3844,SAR07.2 + GS63.3,sar07_2_gs63_3,Y,248,Codigos Internos para Clientes,215,NoElegir
3846,SQR07.2 ,sqr07_2_,Y,248,Codigos Internos para Clientes,215,NoElegir
3854,Equip.UNVA.Importa,equip_unau_importa,Y,211,003 UN VA,,
3856,Equip.UNVA.RvtaLocal,equip_unva_rvtalocal,Y,211,003 UN VA,,
3988,Serv-Soporte.UNAU,serv_soporte_unau,Y,258,Soporte,221,006 Dpto_Servicio
3990,Serv-Soporte.UNAI,serv_soporte_unai,Y,258,Soporte,221,006 Dpto_Servicio
3992,Serv-Soporte.UNVA,serv_soporte_unva,Y,258,Soporte,221,006 Dpto_Servicio
4008,Rotomartillo Cableado DeWalt,rotomartillo_cableado_dewalt,Y,252,Herramientas Dpto Proyectos,250,099 Herramientas Disponibles CISAC
4010,Amoladora Cableado DeWalt,amoladora_cableado_dewalt,Y,252,Herramientas Dpto Proyectos,250,099 Herramientas Disponibles CISAC
4012,Amoladora Inalambrica DeWalt,amoladora_cableado_dewalt,Y,252,Herramientas Dpto Proyectos,250,099 Herramientas Disponibles CISAC
4014,Rotomartillo Inalambrico DeWalt,rotomartillo_inalambrico_dewalt,Y,252,Herramientas Dpto Proyectos,250,099 Herramientas Disponibles CISAC
4290,Valmet-Neles,valmet_neles,Y,211,003 UN VA,,
4294,Valmet-Jamesbury,valmet_jamesbury,Y,211,003 UN VA,,
4298,Valmet-Flowrox,valmet_flowrox,Y,211,003 UN VA,,
4302,Valmet-Stonel,valmet_stonel,Y,211,003 UN VA,,
4306,Valmet-Mapag,valmet_mapag,Y,211,003 UN VA,,
4310,Valmet-Easyflow,valmet_easyflow,Y,211,003 UN VA,,
4314,KOSO,koso,Y,211,003 UN VA,,
4318,Ampo Poyam,ampo_poyam,Y,211,003 UN VA,,
4364,Serv-EjDir.Contrast.Flujo,serv_ejdir_contrast_flujo,Y,223,Ejecucion,221,006 Dpto_Servicio
4368,Serv-EjDir.Otros.Gamma,serv_ejdir_instalaci_n_gamma,Y,223,Ejecucion,221,006 Dpto_Servicio
4376,Serv-EjDir.Almac.Gamma,serv_ejdir_almac_gamma,Y,223,Ejecucion,221,006 Dpto_Servicio
